;tweet;sentimen;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
1551; Alhamdulillah semoga bertanda baik Aamiinn #AniesJuaraDebatCapres  #AniesMuhaimin2024;1.0;alhamdulillah semoga bertanda baik aamiinn hashtag anies juara debat capres hashtag hashtag anies muhaimin 2024 hashtag;['alhamdulillah', 'semoga', 'bertanda', 'baik', 'aamiinn', 'hashtag', 'anies', 'juara', 'debat', 'capres', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['syukur', 'semoga', 'bertanda', 'baik', 'aamiinn', 'hashtag', 'anies', 'juara', 'debat', 'capres', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['syukur', 'semoga', 'bertanda', 'aamiinn', 'hashtag', 'anies', 'juara', 'debat', 'capres', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];syukur semoga bertanda aamiinn hashtag anies juara debat capres hashtag hashtag anies muhaimin 2024 hashtag;syukur moga tanda aamiinn hashtag anies juara debat capres hashtag hashtag anies muhaimin 2024 hashtag
1552;So far bukan GEMOY ternyata, tapi GIANT nya  ??????????????  #AniesMuhaimin2024 #pemimpinmuda  #pemimpinkelasdunia;1.0;so far bukan allcaps gemoy allcaps ternyata tapi allcaps giant allcaps nya repeated hashtag anies muhaimin 2024 hashtag hashtag pemimpinmuda hashtag hashtag pem pinkel as dunia hashtag;['so', 'far', 'bukan', 'allcaps', 'gemoy', 'allcaps', 'ternyata', 'tapi', 'allcaps', 'giant', 'allcaps', 'nya', 'repeated', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'pemimpinmuda', 'hashtag', 'hashtag', 'pem', 'pinkel', 'as', 'dunia', 'hashtag'];['so', 'far', 'bukan', 'allcaps', 'gemoy', 'allcaps', 'ternyata', 'tapi', 'allcaps', 'giant', 'allcaps', 'nya', 'repeated', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'pemimpinmuda', 'hashtag', 'hashtag', 'pem', 'pinkel', 'as', 'dunia', 'hashtag'];['so', 'far', 'allcaps', 'gemoy', 'allcaps', 'allcaps', 'giant', 'allcaps', 'nya', 'repeated', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'pemimpinmuda', 'hashtag', 'hashtag', 'pem', 'pinkel', 'as', 'dunia', 'hashtag'];so far allcaps gemoy allcaps allcaps giant allcaps nya repeated hashtag anies muhaimin 2024 hashtag hashtag pemimpinmuda hashtag hashtag pem pinkel as dunia hashtag;so far allcaps gemoy allcaps allcaps giant allcaps nya repeated hashtag anies muhaimin 2024 hashtag hashtag pemimpinmuda hashtag hashtag pem pinkel as dunia hashtag
1553;Manteman gak usah respon buzzer semakin d respon/komen dapet bayaran tuhh ??  Abaikan setiap tuit mrk biar sepi  Fokus share posting #AMIN #AniesMuhaimin2024;1.0;manteman gak usah respon buzzer semakin respon komen dapet bayaran tuhh repeated abaikan setiap tuit mrk biar sepi fokus share posting hashtag amin hashtag hashtag anies muhaimin 2024 hashtag;['manteman', 'gak', 'usah', 'respon', 'buzzer', 'semakin', 'respon', 'komen', 'dapet', 'bayaran', 'tuhh', 'repeated', 'abaikan', 'setiap', 'tuit', 'mrk', 'biar', 'sepi', 'fokus', 'share', 'posting', 'hashtag', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['manteman', 'tidak', 'usah', 'respon', 'buzzer', 'semakin', 'respon', 'komen', 'mendapat', 'bayaran', 'tuhh', 'repeated', 'abaikan', 'setiap', 'tuit', 'mereka', 'biar', 'sepi', 'fokus', 'share', 'posting', 'hashtag', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['manteman', 'respon', 'buzzer', 'respon', 'komen', 'bayaran', 'tuhh', 'repeated', 'abaikan', 'tuit', 'biar', 'sepi', 'fokus', 'share', 'posting', 'hashtag', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];manteman respon buzzer respon komen bayaran tuhh repeated abaikan tuit biar sepi fokus share posting hashtag semoga hashtag hashtag anies muhaimin 2024 hashtag;manteman respon buzzer respon komen bayar tuhh repeated abai tuit biar sepi fokus share posting hashtag moga hashtag hashtag anies muhaimin 2024 hashtag
1554;Moga2 para galauers sudah menentukan pilihannya ke pas no. 1  #AniesMuhaimin2024  #AniesJuaraDebatCapres;0.0;moga2 para galauers sudah menentukan pilihannya ke pas no number hashtag anies muhaimin 2024 hashtag hashtag anies juara debat capres hashtag;['moga2', 'para', 'galauers', 'sudah', 'menentukan', 'pilihannya', 'ke', 'pas', 'no', 'number', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'anies', 'juara', 'debat', 'capres', 'hashtag'];['moga2', 'para', 'galauers', 'sudah', 'menentukan', 'pilihannya', 'ke', 'cocok', 'no', 'number', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'anies', 'juara', 'debat', 'capres', 'hashtag'];['moga2', 'galauers', 'menentukan', 'pilihannya', 'cocok', 'no', 'number', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'anies', 'juara', 'debat', 'capres', 'hashtag'];moga2 galauers menentukan pilihannya cocok no number hashtag anies muhaimin 2024 hashtag hashtag anies juara debat capres hashtag;moga2 galauers tentu pilih cocok no number hashtag anies muhaimin 2024 hashtag hashtag anies juara debat capres hashtag
1555;UAS bersama Anies Baswedan  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/SZU1qDxnKa;1.0;allcaps uas allcaps bersama anies baswedan hashtag amin aja dulu hashtag hashtag anies muhaimin 2024 hashtag coszu1qdxnka;['allcaps', 'uas', 'allcaps', 'bersama', 'anies', 'baswedan', 'hashtag', 'amin', 'aja', 'dulu', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coszu1qdxnka'];['allcaps', 'uas', 'allcaps', 'bersama', 'anies', 'baswedan', 'hashtag', 'semoga', 'saja', 'dulu', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coszu1qdxnka'];['allcaps', 'uas', 'allcaps', 'anies', 'baswedan', 'hashtag', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coszu1qdxnka'];allcaps uas allcaps anies baswedan hashtag semoga hashtag hashtag anies muhaimin 2024 hashtag coszu1qdxnka;allcaps uas allcaps anies baswedan hashtag moga hashtag hashtag anies muhaimin 2024 hashtag coszu1qdxnka
1556;   Amin Memang  #AniesMuhaimin2024;1.0;amin memang hashtag anies muhaimin 2024 hashtag;['amin', 'memang', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['semoga', 'memang', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['semoga', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];semoga hashtag anies muhaimin 2024 hashtag;moga hashtag anies muhaimin 2024 hashtag
1557;Wakanda No More, Indonesia Forever! ? Bismillah #AMIN #AniesMuhaimin2024;1.0;wakanda no more indonesia forever bismillah hashtag amin hashtag hashtag anies muhaimin 2024 hashtag;['wakanda', 'no', 'more', 'indonesia', 'forever', 'bismillah', 'hashtag', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['wakanda', 'no', 'more', 'indonesia', 'forever', 'bismillah', 'hashtag', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['wakanda', 'no', 'more', 'indonesia', 'forever', 'bismillah', 'hashtag', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];wakanda no more indonesia forever bismillah hashtag semoga hashtag hashtag anies muhaimin 2024 hashtag;wakanda no more indonesia forever bismillah hashtag moga hashtag hashtag anies muhaimin 2024 hashtag
1558;Jadwal Kampanye  smpe 31 Des 2023. Semoga diberkan kelancaran #AMINAjaDulu #AMIN2024 #AniesMuhaimin2024 https://t.co/jjMspvOP51;1.0;jadwal kampanye smpe number des number semoga diberkan kelancaran hashtag amin aja dulu hashtag hashtag amin 2024 hashtag hashtag anies muhaimin 2024 hashtag cojjmspvop51;['jadwal', 'kampanye', 'smpe', 'number', 'des', 'number', 'semoga', 'diberkan', 'kelancaran', 'hashtag', 'amin', 'aja', 'dulu', 'hashtag', 'hashtag', 'amin', '2024', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cojjmspvop51'];['jadwal', 'kampanye', 'sampai', 'number', 'des', 'number', 'semoga', 'diberkan', 'kelancaran', 'hashtag', 'semoga', 'saja', 'dulu', 'hashtag', 'hashtag', 'semoga', '2024', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cojjmspvop51'];['jadwal', 'kampanye', 'number', 'des', 'number', 'semoga', 'diberkan', 'kelancaran', 'hashtag', 'semoga', 'hashtag', 'hashtag', 'semoga', '2024', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cojjmspvop51'];jadwal kampanye number des number semoga diberkan kelancaran hashtag semoga hashtag hashtag semoga 2024 hashtag hashtag anies muhaimin 2024 hashtag cojjmspvop51;jadwal kampanye number des number moga kan lancar hashtag moga hashtag hashtag moga 2024 hashtag hashtag anies muhaimin 2024 hashtag cojjmspvop51
1559;Bicaralah dengan fakta, data dan ilmu pengetahuan. Bukan dengan fiksi dan khayalan.  Ini yg dimaksud.  #AniesMuhaimin2024 https://t.co/V9qVcHJaq0;0.0;bicaralah dengan fakta data dan ilmu pengetahuan bukan dengan fiksi dan khayalan ini yg dimaksud hashtag anies muhaimin 2024 hashtag cov9qvchjaq0;['bicaralah', 'dengan', 'fakta', 'data', 'dan', 'ilmu', 'pengetahuan', 'bukan', 'dengan', 'fiksi', 'dan', 'khayalan', 'ini', 'yg', 'dimaksud', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cov9qvchjaq0'];['bicaralah', 'dengan', 'fakta', 'data', 'dan', 'ilmu', 'pengetahuan', 'bukan', 'dengan', 'fiksi', 'dan', 'khayalan', 'ini', 'yang', 'dimaksud', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cov9qvchjaq0'];['bicaralah', 'fakta', 'data', 'ilmu', 'pengetahuan', 'fiksi', 'khayalan', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cov9qvchjaq0'];bicaralah fakta data ilmu pengetahuan fiksi khayalan hashtag anies muhaimin 2024 hashtag cov9qvchjaq0;bicara fakta data ilmu tahu fiksi khayal hashtag anies muhaimin 2024 hashtag cov9qvchjaq0
1560;Sedih Rivew Jejak digital. This Time for Ngerujak KELEDAI #AniesMuhaimin2024 https://t.co/j2CJ7Lydyy;0.0;sedih rivew jejak digital this time for ngerujak allcaps keledai allcaps hashtag anies muhaimin 2024 hashtag coj2cj7lydyy;['sedih', 'rivew', 'jejak', 'digital', 'this', 'time', 'for', 'ngerujak', 'allcaps', 'keledai', 'allcaps', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coj2cj7lydyy'];['sedih', 'rivew', 'jejak', 'digital', 'this', 'time', 'for', 'ngerujak', 'allcaps', 'keledai', 'allcaps', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coj2cj7lydyy'];['sedih', 'rivew', 'jejak', 'digital', 'this', 'time', 'for', 'ngerujak', 'allcaps', 'keledai', 'allcaps', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coj2cj7lydyy'];sedih rivew jejak digital this time for ngerujak allcaps keledai allcaps hashtag anies muhaimin 2024 hashtag coj2cj7lydyy;sedih rivew jejak digital this time for ngerujak allcaps keledai allcaps hashtag anies muhaimin 2024 hashtag coj2cj7lydyy
1561; Bismillahirrahmanirrahim #AniesMuhaimin2024;0.0;bismillahirrahmanirrahim hashtag anies muhaimin 2024 hashtag;['bismillahirrahmanirrahim', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['bismillahirrahmanirrahim', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['bismillahirrahmanirrahim', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];bismillahirrahmanirrahim hashtag anies muhaimin 2024 hashtag;bismillahirrahmanirrahim hashtag anies muhaimin 2024 hashtag
1562;MasyaAllah Tabarakallah  #AMINAjaDulu  #AniesMuhaimin2024;1.0;masyaallah tabarakallah hashtag amin aja dulu hashtag hashtag anies muhaimin 2024 hashtag;['masyaallah', 'tabarakallah', 'hashtag', 'amin', 'aja', 'dulu', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['masyaallah', 'tabarakallah', 'hashtag', 'semoga', 'saja', 'dulu', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['masyaallah', 'tabarakallah', 'hashtag', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];masyaallah tabarakallah hashtag semoga hashtag hashtag anies muhaimin 2024 hashtag;masyaallah tabarakallah hashtag moga hashtag hashtag anies muhaimin 2024 hashtag
1563;angin tidak punya KTP~~???? #AniesMuhaimin2024  #allinprabowo  #prabowogibran #DebatCapres;0.0;angin tidak punya allcaps ktp allcaps repeated hashtag anies muhaimin 2024 hashtag hashtag all in prabowo hashtag hashtag prabowo gibran hashtag hashtag debat capres hashtag;['angin', 'tidak', 'punya', 'allcaps', 'ktp', 'allcaps', 'repeated', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'all', 'in', 'prabowo', 'hashtag', 'hashtag', 'prabowo', 'gibran', 'hashtag', 'hashtag', 'debat', 'capres', 'hashtag'];['angin', 'tidak', 'punya', 'allcaps', 'ktp', 'allcaps', 'repeated', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'all', 'in', 'prabowo', 'hashtag', 'hashtag', 'prabowo', 'gibran', 'hashtag', 'hashtag', 'debat', 'capres', 'hashtag'];['angin', 'allcaps', 'ktp', 'allcaps', 'repeated', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'all', 'in', 'prabowo', 'hashtag', 'hashtag', 'prabowo', 'gibran', 'hashtag', 'hashtag', 'debat', 'capres', 'hashtag'];angin allcaps ktp allcaps repeated hashtag anies muhaimin 2024 hashtag hashtag all in prabowo hashtag hashtag prabowo gibran hashtag hashtag debat capres hashtag;angin allcaps ktp allcaps repeated hashtag anies muhaimin 2024 hashtag hashtag all in prabowo hashtag hashtag prabowo gibran hashtag hashtag debat capres hashtag
1564;Poling Diadakan Oleh Kader PSI Dan Yang Menang Anies Baswedan,  #AniesMuhaimin2024 https://t.co/octOFXgCJU;1.0;poling diadakan oleh kader allcaps psi allcaps dan yang menang anies baswedan hashtag anies muhaimin 2024 hashtag cooctofxgcju;['poling', 'diadakan', 'oleh', 'kader', 'allcaps', 'psi', 'allcaps', 'dan', 'yang', 'menang', 'anies', 'baswedan', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cooctofxgcju'];['poling', 'diadakan', 'oleh', 'kader', 'allcaps', 'psi', 'allcaps', 'dan', 'yang', 'menang', 'anies', 'baswedan', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cooctofxgcju'];['poling', 'diadakan', 'kader', 'allcaps', 'psi', 'allcaps', 'menang', 'anies', 'baswedan', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cooctofxgcju'];poling diadakan kader allcaps psi allcaps menang anies baswedan hashtag anies muhaimin 2024 hashtag cooctofxgcju;poling ada kader allcaps psi allcaps menang anies baswedan hashtag anies muhaimin 2024 hashtag cooctofxgcju
1565;Unggul Telak Dalam Debat Capres  Anies Baswedan Memang Paling Layak Menjadi Presiden RI 2024,  Pilihan Cerdas  Anies Baswedan  #AniesMuhaimin2024 #WakandaNoMoreIndonesiaForever https://t.co/Rz55TUVj6f;1.0;unggul telak dalam debat capres anies baswedan memang paling layak menjadi presiden ri number pilihan cerdas anies baswedan hashtag anies muhaimin 2024 hashtag hashtag wakanda no more indonesia forever hashtag corz55tuvj6f;['unggul', 'telak', 'dalam', 'debat', 'capres', 'anies', 'baswedan', 'memang', 'paling', 'layak', 'menjadi', 'presiden', 'ri', 'number', 'pilihan', 'cerdas', 'anies', 'baswedan', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'wakanda', 'no', 'more', 'indonesia', 'forever', 'hashtag', 'corz55tuvj6f'];['unggul', 'telak', 'dalam', 'debat', 'capres', 'anies', 'baswedan', 'memang', 'paling', 'layak', 'menjadi', 'presiden', 'di', 'number', 'pilihan', 'cerdas', 'anies', 'baswedan', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'wakanda', 'no', 'more', 'indonesia', 'forever', 'hashtag', 'corz55tuvj6f'];['unggul', 'telak', 'debat', 'capres', 'anies', 'baswedan', 'layak', 'presiden', 'number', 'pilihan', 'cerdas', 'anies', 'baswedan', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'wakanda', 'no', 'more', 'indonesia', 'forever', 'hashtag', 'corz55tuvj6f'];unggul telak debat capres anies baswedan layak presiden number pilihan cerdas anies baswedan hashtag anies muhaimin 2024 hashtag hashtag wakanda no more indonesia forever hashtag corz55tuvj6f;unggul telak debat capres anies baswedan layak presiden number pilih cerdas anies baswedan hashtag anies muhaimin 2024 hashtag hashtag wakanda no more indonesia forever hashtag corz55tuvj6f
1566;Sihlakan Retweet bagi yang dukung  &amp    ???????????????????????? #AniesMuhaimin2024 https://t.co/osqGEsrgdP;1.0;sihlakan retweet bagi yang dukung repeated hashtag anies muhaimin 2024 hashtag coosqgesrgdp;['sihlakan', 'retweet', 'bagi', 'yang', 'dukung', 'repeated', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coosqgesrgdp'];['sihlakan', 'retweet', 'bagi', 'yang', 'dukung', 'repeated', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coosqgesrgdp'];['sihlakan', 'retweet', 'dukung', 'repeated', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coosqgesrgdp'];sihlakan retweet dukung repeated hashtag anies muhaimin 2024 hashtag coosqgesrgdp;sihlakan retweet dukung repeated hashtag anies muhaimin 2024 hashtag coosqgesrgdp
1567;   good job pak Anies Baswedan!  Bersama pak Muhaimin, akan memimpin Indonesia dengan lebih baik lagi. Ada banyak perubahan yang harus dilakukan. #AniesMuhaimin2024;1.0;good job pak anies baswedan bersama pak muhaimin akan memimpin indonesia dengan lebih baik lagi ada banyak perubahan yang harus dilakukan hashtag anies muhaimin 2024 hashtag;['good', 'job', 'pak', 'anies', 'baswedan', 'bersama', 'pak', 'muhaimin', 'akan', 'memimpin', 'indonesia', 'dengan', 'lebih', 'baik', 'lagi', 'ada', 'banyak', 'perubahan', 'yang', 'harus', 'dilakukan', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['good', 'job', 'pak', 'anies', 'baswedan', 'bersama', 'pak', 'muhaimin', 'akan', 'memimpin', 'indonesia', 'dengan', 'lebih', 'baik', 'lagi', 'ada', 'banyak', 'perubahan', 'yang', 'harus', 'dilakukan', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['good', 'job', 'anies', 'baswedan', 'muhaimin', 'memimpin', 'indonesia', 'perubahan', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];good job anies baswedan muhaimin memimpin indonesia perubahan hashtag anies muhaimin 2024 hashtag;good job anies baswedan muhaimin pimpin indonesia ubah hashtag anies muhaimin 2024 hashtag
1568;           Mungkin dulu anda terlalu banyak asupan asam sulfat &amp  ga nyimak debat dengan seksama jadi ga nyampe. #AniesMuhaimin2024 #AMINAjaDulu;-1.0;mungkin dulu anda terlalu banyak asupan asam sulfat ga nyimak debat dengan seksama jadi ga nyampe hashtag anies muhaimin 2024 hashtag hashtag amin aja dulu hashtag;['mungkin', 'dulu', 'anda', 'terlalu', 'banyak', 'asupan', 'asam', 'sulfat', 'ga', 'nyimak', 'debat', 'dengan', 'seksama', 'jadi', 'ga', 'nyampe', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'amin', 'aja', 'dulu', 'hashtag'];['mungkin', 'dulu', 'anda', 'terlalu', 'banyak', 'asupan', 'asam', 'sulfat', 'tidak', 'nyimak', 'debat', 'dengan', 'seksama', 'jadi', 'tidak', 'nyampe', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'semoga', 'saja', 'dulu', 'hashtag'];['asupan', 'asam', 'sulfat', 'nyimak', 'debat', 'seksama', 'nyampe', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'hashtag', 'semoga', 'hashtag'];asupan asam sulfat nyimak debat seksama nyampe hashtag anies muhaimin 2024 hashtag hashtag semoga hashtag;asupan asam sulfat nyimak debat seksama nyampe hashtag anies muhaimin 2024 hashtag hashtag moga hashtag
1569; Kami menilai bahwa paslon nomor 01, Anies Baswedan adalah pemimpin yang terbaik yang dimiliki Indonesia saat ini.  Indonesia akan terurus dengan baik, dengan pemimpin yang betul-betul memiliki kecakapan memimpin. #AniesMuhaimin2024;1.0;kami menilai bahwa paslon nomor number anies baswedan adalah pemimpin yang terbaik yang dimiliki indonesia saat ini indonesia akan terurus dengan baik dengan pemimpin yang betul betul memiliki kecakapan memimpin hashtag anies muhaimin 2024 hashtag;['kami', 'menilai', 'bahwa', 'paslon', 'nomor', 'number', 'anies', 'baswedan', 'adalah', 'pemimpin', 'yang', 'terbaik', 'yang', 'dimiliki', 'indonesia', 'saat', 'ini', 'indonesia', 'akan', 'terurus', 'dengan', 'baik', 'dengan', 'pemimpin', 'yang', 'betul', 'betul', 'memiliki', 'kecakapan', 'memimpin', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['kami', 'menilai', 'bahwa', 'paslon', 'nomor', 'number', 'anies', 'baswedan', 'adalah', 'pemimpin', 'yang', 'terbaik', 'yang', 'dimiliki', 'indonesia', 'saat', 'ini', 'indonesia', 'akan', 'terurus', 'dengan', 'baik', 'dengan', 'pemimpin', 'yang', 'betul', 'betul', 'memiliki', 'kecakapan', 'memimpin', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['menilai', 'paslon', 'nomor', 'number', 'anies', 'baswedan', 'pemimpin', 'terbaik', 'dimiliki', 'indonesia', 'indonesia', 'terurus', 'pemimpin', 'memiliki', 'kecakapan', 'memimpin', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];menilai paslon nomor number anies baswedan pemimpin terbaik dimiliki indonesia indonesia terurus pemimpin memiliki kecakapan memimpin hashtag anies muhaimin 2024 hashtag;nilai paslon nomor number anies baswedan pimpin baik milik indonesia indonesia urus pimpin milik cakap pimpin hashtag anies muhaimin 2024 hashtag
1570; Anies Baswedan menguasai arena dan situasi dengan sangat baik, berbekal pengetahuan yang lengkap dan juga cara penyampaiannya. Tidak emosional, dan tutur kata enak didengar, sangat runtut dan jelas. #AniesMuhaimin2024;1.0;anies baswedan menguasai arena dan situasi dengan sangat baik berbekal pengetahuan yang lengkap dan juga cara penyampaiannya tidak emosional dan tutur kata enak didengar sangat runtut dan jelas hashtag anies muhaimin 2024 hashtag;['anies', 'baswedan', 'menguasai', 'arena', 'dan', 'situasi', 'dengan', 'sangat', 'baik', 'berbekal', 'pengetahuan', 'yang', 'lengkap', 'dan', 'juga', 'cara', 'penyampaiannya', 'tidak', 'emosional', 'dan', 'tutur', 'kata', 'enak', 'didengar', 'sangat', 'runtut', 'dan', 'jelas', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['anies', 'baswedan', 'menguasai', 'arena', 'dan', 'situasi', 'dengan', 'sangat', 'baik', 'berbekal', 'pengetahuan', 'yang', 'lengkap', 'dan', 'juga', 'cara', 'penyampaiannya', 'tidak', 'emosional', 'dan', 'tutur', 'kata', 'enak', 'didengar', 'sangat', 'runtut', 'dan', 'jelas', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['anies', 'baswedan', 'menguasai', 'arena', 'situasi', 'berbekal', 'pengetahuan', 'lengkap', 'penyampaiannya', 'emosional', 'enak', 'didengar', 'runtut', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];anies baswedan menguasai arena situasi berbekal pengetahuan lengkap penyampaiannya emosional enak didengar runtut hashtag anies muhaimin 2024 hashtag;anies baswedan kuasa arena situasi bekal tahu lengkap sampai emosional enak dengar runtut hashtag anies muhaimin 2024 hashtag
1571;Alhamdulillah.. Akhirnya Ustadz Abdul Somad dukung No 1 ??  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/1HoInyjUqc;1.0;alhamdulillah repeated akhirnya ustadz abdul somad dukung no number repeated hashtag amin aja dulu hashtag hashtag anies muhaimin 2024 hashtag co1hoinyjuqc;['alhamdulillah', 'repeated', 'akhirnya', 'ustadz', 'abdul', 'somad', 'dukung', 'no', 'number', 'repeated', 'hashtag', 'amin', 'aja', 'dulu', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'co1hoinyjuqc'];['syukur', 'repeated', 'akhirnya', 'ustadz', 'abdul', 'somad', 'dukung', 'no', 'number', 'repeated', 'hashtag', 'semoga', 'saja', 'dulu', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'co1hoinyjuqc'];['syukur', 'repeated', 'ustadz', 'abdul', 'somad', 'dukung', 'no', 'number', 'repeated', 'hashtag', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'co1hoinyjuqc'];syukur repeated ustadz abdul somad dukung no number repeated hashtag semoga hashtag hashtag anies muhaimin 2024 hashtag co1hoinyjuqc;syukur repeated ustadz abdul somad dukung no number repeated hashtag moga hashtag hashtag anies muhaimin 2024 hashtag co1hoinyjuqc
1572;Pak Anies Baswedan bersama Istri dan ibunda mengunjungi Ustadz Abdul Somad di Rumah Omak Pekanbaru, Riau   #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/hnhJqKLeKA;1.0;pak anies baswedan bersama istri dan ibunda mengunjungi ustadz abdul somad di rumah omak pekanbaru riau hashtag amin aja dulu hashtag hashtag anies muhaimin 2024 hashtag cohnhjqkleka;['pak', 'anies', 'baswedan', 'bersama', 'istri', 'dan', 'ibunda', 'mengunjungi', 'ustadz', 'abdul', 'somad', 'di', 'rumah', 'omak', 'pekanbaru', 'riau', 'hashtag', 'amin', 'aja', 'dulu', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cohnhjqkleka'];['pak', 'anies', 'baswedan', 'bersama', 'istri', 'dan', 'ibunda', 'mengunjungi', 'ustadz', 'abdul', 'somad', 'di', 'rumah', 'omak', 'pekanbaru', 'riau', 'hashtag', 'semoga', 'saja', 'dulu', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cohnhjqkleka'];['anies', 'baswedan', 'istri', 'ibunda', 'mengunjungi', 'ustadz', 'abdul', 'somad', 'rumah', 'omak', 'pekanbaru', 'riau', 'hashtag', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cohnhjqkleka'];anies baswedan istri ibunda mengunjungi ustadz abdul somad rumah omak pekanbaru riau hashtag semoga hashtag hashtag anies muhaimin 2024 hashtag cohnhjqkleka;anies baswedan istri ibunda unjung ustadz abdul somad rumah omak pekanbaru riau hashtag moga hashtag hashtag anies muhaimin 2024 hashtag cohnhjqkleka
